29/10/2023	15:46:06 	 6b8ade6f-e215-41af-b8d6-3daaa3b06a34 	 GET 	 undefined 	 / 
29/10/2023	19:17:56 	 80098b19-a179-422d-87dd-b1242227b0ed 	 GET 	 undefined 	 /subdir/css/style.css 
29/10/2023	19:20:35 	 3b64916d-fac5-4166-91e1-0bd5c26bad9b 	 GET 	 undefined 	 /subdir/ 
29/10/2023	19:20:35 	 3509eb71-5c24-4f27-940c-59ac5e1d65d2 	 GET 	 undefined 	 /subdir/css/style.css 
29/10/2023	19:21:25 	 13f85aa2-f596-405b-8582-6cb13866d169 	 GET 	 undefined 	 /subdir/ 
29/10/2023	19:21:25 	 a512ad9c-eb59-4be7-be5f-e23f3e7cef95 	 GET 	 undefined 	 /css/style.css 
29/10/2023	19:21:55 	 a5cd8726-a410-4522-832f-e8c72b4dc79c 	 GET 	 undefined 	 /subdir/ 
29/10/2023	19:21:55 	 5869c689-7346-4cbf-979d-0cef549010ef 	 GET 	 undefined 	 /css/style.css 
29/10/2023	19:22:18 	 76fd6364-8bd5-4561-b4c5-ce3fc437b4fc 	 GET 	 undefined 	 /new-page.html 
29/10/2023	19:22:18 	 016c30df-68d3-4c10-97f2-1a611c1bf040 	 GET 	 undefined 	 /css/style.css 
29/10/2023	19:22:18 	 a9d9ba6c-b5a8-4170-9d15-fd932062e2b2 	 GET 	 undefined 	 /img/img1.jpg 
29/10/2023	19:22:52 	 6aea3831-7425-4655-9414-092165075924 	 GET 	 undefined 	 /new-page.html 
29/10/2023	19:49:50 	 f22ceead-ee6d-48a9-9b32-66e7dfbc1ae7 	 GET 	 undefined 	 /new-page.html 
29/10/2023	19:49:50 	 02e4e62b-6ad3-44f5-b3fe-5fad7fa27576 	 GET 	 undefined 	 /css/style.css 
29/10/2023	19:49:50 	 f4598574-dc03-445e-8feb-c0b9db9efd18 	 GET 	 undefined 	 /img/img1.jpg 
29/10/2023	19:49:59 	 6d41db4b-72a0-4694-85ee-e57131cf3934 	 GET 	 undefined 	 /new-page.html 
29/10/2023	19:49:59 	 994d1fb2-f693-4dd9-9f75-f106d55620aa 	 GET 	 undefined 	 /css/style.css 
29/10/2023	19:49:59 	 af38b7c1-b611-4170-93f0-6a9e6ca2e70c 	 GET 	 undefined 	 /img/img1.jpg 
29/10/2023	19:50:16 	 ef8f4e1e-18ac-43bd-9035-204a6d8c8e62 	 GET 	 undefined 	 /new-pa 
29/10/2023	19:50:16 	 4d56bd95-810c-4a41-a6ab-239f838ce61e 	 GET 	 undefined 	 /css/style.css 
29/10/2023	19:50:21 	 6c0936fa-713d-42a5-8225-eb98f2ace38c 	 GET 	 undefined 	 /subdir 
29/10/2023	19:50:21 	 8a67cbae-0769-42b9-b0b6-1ad9fc6e66c6 	 GET 	 undefined 	 /css/style.css 
30/10/2023	18:51:58 	 4299b9d2-a282-4c96-a9d6-5da639091c98 	 GET 	 undefined 	 / 
30/10/2023	18:51:58 	 ef92aa9f-4c51-4ced-b316-9655d4ac433c 	 GET 	 undefined 	 /css/style.css 
30/10/2023	18:51:58 	 3ee85c67-ad77-4324-b484-7c71517f7cae 	 GET 	 undefined 	 /favicon.ico 
30/10/2023	18:52:13 	 918486f0-fa94-4502-aef8-491fd86d8065 	 GET 	 undefined 	 /subdir 
30/10/2023	18:52:13 	 c131c0b5-2420-4eef-9fe6-abdbbe8cb72c 	 GET 	 undefined 	 /css/style.css 
30/10/2023	18:52:22 	 6eb61ca1-0d3a-4e3b-870d-5e5d86794fbc 	 GET 	 undefined 	 /subdir/ 
30/10/2023	18:52:22 	 6ac3bce6-41c9-45f3-bf89-a4251cb33c86 	 GET 	 undefined 	 /subdir/ 
30/10/2023	18:52:22 	 4f12a160-0dbe-4780-84b4-953d7dcd8e9b 	 GET 	 undefined 	 /subdir/css/style.css 
30/10/2023	18:52:26 	 672ed8ac-59ba-4a24-8bfc-a534c21b799c 	 GET 	 undefined 	 /subdir 
30/10/2023	18:52:26 	 1a5affc1-c8bc-44c4-82ba-a63ef46dbd64 	 GET 	 undefined 	 /css/style.css 
30/10/2023	18:53:01 	 eb183885-3dbc-44dd-8f85-f0a6cd68bb3d 	 GET 	 undefined 	 /subdir 
30/10/2023	18:53:01 	 2594249a-a811-4a49-ac4b-d9b89f215c2a 	 GET 	 undefined 	 /css/style.css 
30/10/2023	18:54:27 	 380d07ef-9a0f-41aa-9c90-39ef9d2996a4 	 GET 	 undefined 	 /subdir/ 
30/10/2023	18:54:27 	 ec11e71e-946a-4f46-bd1b-cfa7008bcb38 	 GET 	 undefined 	 /css/style.css 
30/10/2023	18:54:32 	 0086775c-c3ab-4d92-94e8-3c1218c4c572 	 GET 	 undefined 	 /subdir/test 
30/10/2023	18:55:12 	 59cfb83b-5579-46ea-b667-6f0ddbf8e815 	 GET 	 undefined 	 /subdir/test 
30/10/2023	18:55:34 	 99152639-fc6e-453d-9396-2a3fad666dce 	 GET 	 undefined 	 /subdir/test 
30/10/2023	18:55:34 	 f2bb3224-7b39-435e-ac2a-5852905cd4ba 	 GET 	 undefined 	 /css/style.css 
30/10/2023	18:55:34 	 80df785b-e3a8-4674-ac7f-f8732322f154 	 GET 	 undefined 	 /favicon.ico 
30/10/2023	18:55:57 	 12fd8dc7-d3ca-49cd-a1fd-edceadd65ab7 	 GET 	 undefined 	 /subdir/tes 
30/10/2023	18:55:57 	 bae7c5de-6e6a-4e29-8900-f99bfdecb1d2 	 GET 	 undefined 	 /subdir/css/style.css 
30/10/2023	18:57:19 	 09e74a16-599b-4af8-ae6a-45a905be481e 	 GET 	 undefined 	 /subdir/tes 
30/10/2023	18:57:20 	 7e515029-dc0d-4214-ad08-0fe737e2710e 	 GET 	 undefined 	 /subdir/css/style.css 
30/10/2023	18:57:44 	 b464a074-1dec-430f-a72a-c792a049b44c 	 GET 	 undefined 	 /subdir/test 
30/10/2023	18:57:44 	 11338beb-d832-4b4f-a5a6-879a52e0b201 	 GET 	 undefined 	 /subdir/css/style.css 
30/10/2023	19:17:18 	 d3cd3816-ea91-44c6-ba4f-0534d49773cf 	 GET 	 undefined 	 /subdir/test 
30/10/2023	19:17:18 	 b91083e9-ba59-44db-a834-8301ad83e7c6 	 GET 	 undefined 	 /subdir/css/style.css 
30/10/2023	19:17:21 	 60749053-ed37-4a4a-9576-949ff62dcac8 	 GET 	 undefined 	 /subdir/ 
30/10/2023	19:17:21 	 88b712d3-75f8-4861-8809-2c912c2d08e8 	 GET 	 undefined 	 /subdir/css/style.css 
30/10/2023	19:17:24 	 1b113c7f-5423-4c81-8045-60b105ca7afa 	 GET 	 undefined 	 / 
30/10/2023	19:17:24 	 574fb38d-86a1-463c-af2f-31fa8f6595e4 	 GET 	 undefined 	 /css/style.css 
30/10/2023	19:17:32 	 7eb7abdf-1068-4552-9ef1-83c34fa1a79f 	 GET 	 undefined 	 /new-page.html 
30/10/2023	19:17:32 	 1f21c9d1-bb2e-404b-96c4-58aa319128ae 	 GET 	 undefined 	 /css/style.css 
30/10/2023	19:18:28 	 bcddf88a-46f4-4deb-95dc-d5f724c3c89a 	 GET 	 undefined 	 /new-page.html 
30/10/2023	19:18:28 	 f3297dd0-4506-4110-83d2-c4f4cc53113d 	 GET 	 undefined 	 /css/style.css 
30/10/2023	19:18:28 	 c09ee2de-a4f3-42a3-9e23-7d8c98c8ba3c 	 GET 	 undefined 	 /img/img1.jpg 
30/10/2023	19:18:36 	 83207b9f-db3a-46a4-b7b0-e41dbf171c4c 	 GET 	 undefined 	 /new-page.html 
30/10/2023	19:18:36 	 cb4a6f6c-68e5-443c-b463-6991d6c09922 	 GET 	 undefined 	 /css/style.css 
30/10/2023	19:18:36 	 583275af-b430-4e3e-8bbb-3566cd77e2e2 	 GET 	 undefined 	 /img/img1.jpg 
30/10/2023	19:18:43 	 414973d5-6058-481a-a877-df3e7bd63724 	 GET 	 undefined 	 /css/style.css 
30/10/2023	19:18:59 	 6ec97dc4-f6ae-4912-ac27-f96ae7060447 	 GET 	 undefined 	 / 
30/10/2023	19:18:59 	 b788f222-c7a2-42ac-8b65-88b42eb187ed 	 GET 	 undefined 	 /css/style.css 
30/10/2023	19:22:18 	 5c59da9a-24a3-4100-b330-7b35ae392295 	 GET 	 undefined 	 / 
30/10/2023	19:22:18 	 073e4f48-c362-4519-809f-acc222026ccc 	 GET 	 undefined 	 /css/style.css 
30/10/2023	19:22:23 	 233d3b30-9dd8-4b41-a7b9-fc5874574c45 	 GET 	 undefined 	 /new-page.html 
30/10/2023	19:22:23 	 defd2ba2-fceb-49aa-9648-a53fb1c39556 	 GET 	 undefined 	 /css/style.css 
30/10/2023	19:22:23 	 7d7192fc-3bdd-40a7-8117-063d4bc291a3 	 GET 	 undefined 	 /img/img1.jpg 
30/10/2023	21:59:35 	 0b140f7e-3d9e-4eee-abc9-f8303b9815fe 	 GET 	 undefined 	 / 
30/10/2023	21:59:35 	 e988d5f3-7fa1-4f14-8d1b-4745e681955c 	 GET 	 undefined 	 /css/style.css 
30/10/2023	21:59:35 	 df945caf-db1b-46a5-ad1c-1005cc48252c 	 GET 	 undefined 	 /favicon.ico 
30/10/2023	22:01:49 	 69a58dd2-c577-42b4-86c8-48e9fb495d47 	 GET 	 undefined 	 / 
30/10/2023	22:01:49 	 08938d06-8aa8-468e-8126-18b15a9ac172 	 GET 	 undefined 	 /css/style.css 
30/10/2023	22:03:37 	 4914c12b-498f-408d-8542-735adabbf09b 	 GET 	 undefined 	 /employees 
30/10/2023	22:04:37 	 27233750-6854-4305-b065-59ae6d939025 	 GET 	 undefined 	 /employees 
30/10/2023	22:04:41 	 d2004d80-62c5-41f5-ba9c-d64fb2064e79 	 GET 	 undefined 	 /employees 
30/10/2023	22:05:40 	 14b3a702-2403-4315-b2fe-907282d18c48 	 POST 	 undefined 	 /employees 
30/10/2023	22:05:56 	 41783e2d-cc24-4979-93ae-e2227f17ea32 	 POST 	 undefined 	 /employees 
30/10/2023	22:06:00 	 6a490838-dcff-4f8f-9f83-ad5e13b09a38 	 GET 	 undefined 	 /employees 
01/11/2023	20:31:08 	 d2bd002e-e8d1-40df-8108-a3d31ce24de1 	 GET 	 undefined 	 / 
01/11/2023	20:31:08 	 719f59cb-a732-46a9-8d58-7eaf310940b0 	 GET 	 undefined 	 /css/style.css 
01/11/2023	20:31:13 	 fd7f2cca-e848-4292-b6f5-cdba011e722e 	 GET 	 undefined 	 /favicon.ico 
01/11/2023	23:25:45 	 22c40bcf-373c-42f8-8c56-03495af5a53f 	 GET 	 undefined 	 /employees 
01/11/2023	23:26:51 	 1f6143d5-2141-430f-b32b-56305e6f5c48 	 POST 	 undefined 	 /employees 
01/11/2023	23:27:59 	 dd0fb08a-de89-4db5-9fbd-231eac67f4a3 	 GET 	 undefined 	 /employees 
01/11/2023	23:28:13 	 547b9256-d02c-4786-ad48-f3be1da51d62 	 POST 	 undefined 	 /employees 
01/11/2023	23:31:06 	 3dde79b8-8627-4e0b-98f5-4861637abe1d 	 POST 	 undefined 	 /employees 
01/11/2023	23:39:14 	 ce9600ef-67d1-4966-9a7b-0552838c8541 	 PUT 	 undefined 	 /employees 
01/11/2023	23:40:18 	 547bd1e8-4e12-4b68-9a05-8475f7926d8e 	 PUT 	 undefined 	 /employees 
01/11/2023	23:40:44 	 2a2efb96-b3a1-49bd-9bde-dae9eeb726be 	 GET 	 undefined 	 /employees 
01/11/2023	23:41:04 	 9f923326-6ea0-45a0-8e89-6d8b6e5de993 	 POST 	 undefined 	 /employees 
01/11/2023	23:41:11 	 1d5485cb-3be5-4336-9744-ce1961694ffc 	 PUT 	 undefined 	 /employees 
01/11/2023	23:41:54 	 38d255bd-76b2-48ec-b1b5-1326da2d59cb 	 DELETE 	 undefined 	 /employees 
01/11/2023	23:42:16 	 2a80ebbf-bbf5-4b07-ada0-a35ef0769fe9 	 DELETE 	 undefined 	 /employees 
01/11/2023	23:42:35 	 e30e1f68-2017-46b7-8178-de2a9b31a09b 	 POST 	 undefined 	 /employees 
01/11/2023	23:42:44 	 46e11070-4340-44a9-94de-02cb854e1a1c 	 PUT 	 undefined 	 /employees 
01/11/2023	23:42:47 	 e6d79676-30fd-4201-b26f-10145f50065d 	 DELETE 	 undefined 	 /employees 
01/11/2023	23:42:59 	 e19232eb-dbde-493d-82b3-68aed3b52d11 	 GET 	 undefined 	 /employees/1 
01/11/2023	23:43:08 	 b8cdf09b-3c50-43bd-bdf9-a6448fde4dff 	 GET 	 undefined 	 /employees/3 
01/11/2023	23:43:13 	 c24447b5-7855-4a06-8d51-ec44ab6f7960 	 GET 	 undefined 	 /employees/5 
01/11/2023	23:43:16 	 ad4c3233-0049-48ec-9263-1b2a1dfe5451 	 GET 	 undefined 	 /employees/2 
01/11/2023	23:48:01 	 7158f427-dfc0-4472-a861-d0e1920dd3b3 	 GET 	 undefined 	 /employees 
01/11/2023	23:48:13 	 5779736c-d27f-419b-8d19-cc5d824f91e0 	 POST 	 undefined 	 /employees 
01/11/2023	23:48:23 	 8b3ceaca-ba2b-48f3-8ace-d16b1a409fe0 	 PUT 	 undefined 	 /employees 
01/11/2023	23:48:32 	 97e9db2a-2897-4ea2-9020-231efc8c916f 	 DELETE 	 undefined 	 /employees 
01/11/2023	23:48:40 	 3aeb1a85-32d9-44d3-9766-b0eb81fbb548 	 GET 	 undefined 	 /employees/2 
01/11/2023	23:48:43 	 63d46817-e59c-400e-945d-a05082c6bd2b 	 GET 	 undefined 	 /employees/1 
01/11/2023	23:48:45 	 3372e6ff-570d-4a5d-b03e-2ad22cddbc13 	 GET 	 undefined 	 /employees/3 
